path,type,sector,size
"$SystemUpdate",dir,1778786,2048
"$SystemUpdate/su20076000_00000000",file,1768546,11612160
"$SystemUpdate/system.manifest",file,1774216,6100
"audioboot.big",file,1762815,1940416
"audioboot2.big",file,3044062,3456096
"boot.big",file,1763763,9791728
"cache.big",file,113264,280576432
"cacherender.big",file,250265,1246859632
"data0.big",file,98035,23003184
"default.xex",file,1779487,9109504
"gamedata",dir,1762814,2048
"gamedata/aidata.big",file,1762805,16912
"gamedata/anim",dir,113263,2048
"gamedata/anim/faceposer.big",file,109269,8178864
"gamedata/gps.big",file,109268,1031
"gamedata/nis.big",file,1783936,132720000
"nocache.big",file,1848741,2448015792
"nocacherender.big",file,859084,1850819808
"nxeart",file,1778787,1433600
"options.viv",file,1768545,284
